date,open,high,low,close,volume,sina_symbol,amount
2020-03-16,10.15,10.49,9.87,10.08,32159161,sh600158,324164342.88
2020-03-17,10.2,10.55,9.9,10.53,35540645,sh600158,374242991.84999996
2020-03-18,10.56,10.6,10.06,10.1,32089108,sh600158,324099990.8
2020-03-20,10.3,10.45,9.61,9.76,30203364,sh600158,294784832.64
2020-03-23,9.18,9.22,8.78,8.78,23503248,sh600158,206358517.44
2020-03-24,8.83,8.88,8.36,8.63,18321854,sh600158,158117600.02
2020-03-25,8.8,8.84,8.57,8.75,12501701,sh600158,109389883.75
2020-03-26,8.7,8.93,8.66,8.79,10508932,sh600158,92373512.27999999
2020-03-27,8.83,8.92,8.71,8.75,8622649,sh600158,75448178.75
2020-03-30,8.6,8.6,8.37,8.44,10499912,sh600158,88619257.28
2020-03-31,8.52,8.64,8.43,8.47,6111318,sh600158,51762863.46
2020-04-01,8.4,8.51,8.23,8.29,9633842,sh600158,79864550.17999999
2020-04-02,8.16,8.4,8.16,8.4,6331115,sh600158,53181366.0
2020-04-03,8.38,8.51,8.34,8.47,6113833,sh600158,51784165.510000005
2020-04-07,8.59,8.74,8.55,8.67,9508674,sh600158,82440203.58
2020-04-08,8.59,8.69,8.55,8.61,6734922,sh600158,57987678.419999994
2020-04-09,8.63,8.84,8.63,8.72,7636716,sh600158,66592163.52
2020-04-10,8.74,8.74,8.45,8.52,8140872,sh600158,69360229.44
2020-04-13,8.48,8.52,8.15,8.22,9289597,sh600158,76360487.34
2020-04-14,8.28,8.37,8.24,8.32,6526857,sh600158,54303450.24
2020-04-15,8.31,8.48,8.29,8.34,7467787,sh600158,62281343.58
2020-04-16,8.28,8.46,8.28,8.44,5834283,sh600158,49241348.519999996
2020-04-17,8.44,8.53,8.4,8.46,7652167,sh600158,64737332.82000001
2020-04-20,8.49,8.51,8.36,8.41,5428201,sh600158,45651170.410000004
2020-04-21,8.36,8.39,8.23,8.3,6016302,sh600158,49935306.6
2020-04-22,8.3,8.34,8.24,8.34,4880441,sh600158,40702877.94
2020-04-23,8.34,8.93,8.27,8.75,21364499,sh600158,186939366.25
2020-04-24,8.53,8.67,8.4,8.54,14585753,sh600158,124562330.61999999
2020-04-27,8.43,8.49,8.3,8.33,7105799,sh600158,59191305.67
2020-04-28,8.35,8.56,8.18,8.41,9636544,sh600158,81043335.04
2020-04-29,8.39,8.54,8.33,8.44,7193904,sh600158,60716549.76
2020-04-30,8.63,8.74,8.46,8.59,11229493,sh600158,96461344.87
2020-05-06,8.5,9.03,8.48,8.78,14451301,sh600158,126882422.77999999
2020-05-07,8.74,8.79,8.61,8.62,9135479,sh600158,78747828.97999999
2020-05-08,8.66,8.78,8.63,8.72,6646271,sh600158,57955483.120000005
2020-05-11,8.72,8.88,8.68,8.74,9220982,sh600158,80591382.68
2020-05-12,8.7,8.81,8.6,8.66,6922081,sh600158,59945221.46
2020-05-13,8.65,8.67,8.56,8.61,4881600,sh600158,42030576.0
2020-05-14,8.6,8.62,8.52,8.54,3900292,sh600158,33308493.679999996
2020-05-15,8.6,8.64,8.55,8.55,4713227,sh600158,40298090.85
2020-05-18,8.61,8.69,8.47,8.6,6615072,sh600158,56889619.199999996
2020-05-19,8.63,8.69,8.6,8.68,5860105,sh600158,50865711.4
2020-05-20,8.68,8.95,8.62,8.74,12159319,sh600158,106272448.06
2020-05-21,8.7,8.74,8.47,8.5,9816046,sh600158,83436391.0
2020-05-22,8.67,8.67,8.3,8.34,8513354,sh600158,71001372.36
2020-05-25,8.32,8.38,8.21,8.26,5947430,sh600158,49125771.8
2020-05-26,8.26,8.39,8.26,8.35,6135009,sh600158,51227325.15
