date,open,high,low,close,volume,sina_symbol,amount
2020-03-03,2.96,2.99,2.92,2.94,8914557,sz000558,26208797.58
2020-03-04,2.94,3.01,2.91,3.01,12721512,sz000558,38291751.12
2020-03-05,3.01,3.06,3.0,3.04,15356661,sz000558,46684249.44
2020-03-06,3.02,3.05,2.99,3.04,9819072,sz000558,29849978.88
2020-03-09,3.0,3.03,2.96,3.0,11173208,sz000558,33519624.0
2020-03-10,2.96,3.03,2.88,3.02,14005440,sz000558,42296428.8
2020-03-11,3.06,3.18,3.01,3.03,25847210,sz000558,78317046.3
2020-03-12,2.98,3.0,2.91,2.93,14751216,sz000558,43221062.88
2020-03-13,2.79,2.9,2.75,2.87,12896033,sz000558,37011614.71
2020-03-16,2.89,2.93,2.78,2.8,11411107,sz000558,31951099.599999998
2020-03-17,2.82,2.85,2.72,2.77,9390366,sz000558,26011313.82
2020-03-18,2.81,2.81,2.69,2.7,8917468,sz000558,24077163.6
2020-03-19,2.69,2.71,2.62,2.66,8683700,sz000558,23098642.0
2020-03-20,2.69,2.71,2.66,2.71,5662179,sz000558,15344505.09
2020-03-23,2.65,2.67,2.6,2.6,6742581,sz000558,17530710.6
2020-03-24,2.64,2.67,2.59,2.64,5488778,sz000558,14490373.92
2020-03-25,2.68,2.71,2.66,2.7,6140931,sz000558,16580513.700000001
2020-03-26,2.66,2.75,2.65,2.7,8623965,sz000558,23284705.5
2020-03-27,2.72,2.8,2.68,2.79,12091684,sz000558,33735798.36
2020-03-30,2.78,2.82,2.73,2.76,11631250,sz000558,32102249.999999996
2020-03-31,2.77,2.79,2.69,2.7,6916059,sz000558,18673359.3
2020-04-01,2.69,2.72,2.58,2.6,10173492,sz000558,26451079.2
2020-04-02,2.57,2.63,2.52,2.62,7339080,sz000558,19228389.6
2020-04-03,2.6,2.69,2.58,2.6,6529134,sz000558,16975748.400000002
2020-04-07,2.64,2.67,2.61,2.66,7326982,sz000558,19489772.12
2020-04-08,2.65,2.69,2.64,2.68,5854286,sz000558,15689486.48
2020-04-09,2.68,2.73,2.67,2.69,5154398,sz000558,13865330.62
2020-04-10,2.7,2.7,2.61,2.62,7146627,sz000558,18724162.740000002
2020-04-13,2.62,2.63,2.58,2.59,3908233,sz000558,10122323.469999999
2020-04-14,2.6,2.64,2.59,2.63,3312936,sz000558,8713021.68
