排名,综合评分,验证净收益率(%),全样本净收益率(%),全样本止损率(%),入场日,退出日,TopK,止损线,波动止损倍数,暴露门槛,注意力截尾
1,0.052942,2.3016,11.0397,0.0,T-60,T-10,3,8.0,5.0,0.45,1.0
2,0.052942,2.3016,11.0397,0.0,T-60,T-10,3,8.0,5.0,0.5,1.0
3,0.052942,2.3016,11.0397,0.0,T-60,T-10,3,10.0,4.0,0.45,1.0
4,0.052942,2.3016,11.0397,0.0,T-60,T-10,3,10.0,4.0,0.5,1.0
5,0.052942,2.3016,11.0397,0.0,T-60,T-10,3,10.0,5.0,0.45,1.0
6,0.052942,2.3016,11.0397,0.0,T-60,T-10,3,10.0,5.0,0.5,1.0
7,0.052942,2.3016,11.0397,0.0,T-60,T-10,5,8.0,5.0,0.5,1.0
8,0.052942,2.3016,11.0397,0.0,T-60,T-10,5,10.0,4.0,0.5,1.0
9,0.052942,2.3016,11.0397,0.0,T-60,T-10,5,10.0,5.0,0.5,1.0
10,0.052387,2.4192,10.6786,0.0,T-60,T-10,3,8.0,5.0,0.45,1.0
