参数,取值,组合数量,平均验证净收益率(%),平均全样本净收益率(%),平均止损率(%)
entry_days_before_event,60,64,2.2102,9.7102,3.9062
entry_days_before_event,90,64,3.1966,-0.5297,59.375
top_k,3,64,2.7914,4.2808,32.2917
top_k,5,64,2.6154,4.8996,30.9896
stop_loss,0.08,64,2.7056,4.41,32.8125
stop_loss,0.1,64,2.7012,4.7704,30.4688
stop_vol_multiplier,4.0,64,2.7049,4.4128,32.8125
stop_vol_multiplier,5.0,64,2.7019,4.7676,30.4688
min_exposure_for_trade,0.45,64,2.6154,4.8996,30.9896
min_exposure_for_trade,0.5,64,2.7914,4.2808,32.2917
attention_z_cap,1.0,64,2.8657,4.7306,33.9844
attention_z_cap,1.5,64,2.5411,4.4498,29.2969
