date,open,high,low,close,volume,sina_symbol,amount
2020-03-17,11.65,11.95,10.88,11.09,24877448,sh600060,275890898.32
2020-03-18,11.2,11.28,10.37,10.42,21833220,sh600060,227502152.4
2020-03-19,10.45,10.87,10.39,10.57,19890779,sh600060,210245534.03
2020-03-20,10.72,10.79,10.21,10.45,15358990,sh600060,160501445.5
2020-03-23,10.09,10.16,9.6,9.63,19575800,sh600060,188514954.00000003
2020-03-24,9.85,10.0,9.49,9.85,15214721,sh600060,149865001.85
2020-03-25,10.12,10.41,10.01,10.22,17138440,sh600060,175154856.8
2020-03-26,10.18,10.19,9.94,9.97,8736752,sh600060,87105417.44000001
2020-03-27,10.19,10.19,9.78,9.81,12222945,sh600060,119907090.45
2020-03-30,9.8,9.8,9.29,9.44,19444366,sh600060,183554815.04
2020-03-31,9.59,9.62,9.31,9.38,10965483,sh600060,102856230.54
2020-04-01,9.38,9.62,9.27,9.33,10815146,sh600060,100905312.18
2020-04-02,9.32,9.77,9.3,9.71,13789342,sh600060,133894510.82000001
2020-04-03,9.72,9.75,9.48,9.55,8628744,sh600060,82404505.2
2020-04-07,9.7,9.93,9.7,9.84,11455107,sh600060,112718252.88
2020-04-08,9.77,10.05,9.7,9.94,11470151,sh600060,114013300.94
2020-04-09,10.03,10.07,9.86,9.95,8983052,sh600060,89381367.39999999
2020-04-10,9.95,9.99,9.73,9.73,7081550,sh600060,68903481.5
2020-04-13,9.54,9.64,9.4,9.5,11811720,sh600060,112211340.0
2020-04-14,9.58,9.58,9.37,9.55,11119429,sh600060,106190546.95
2020-04-15,9.5,9.61,9.36,9.36,12825948,sh600060,120050873.27999999
2020-04-16,9.33,9.58,9.22,9.54,11280568,sh600060,107616618.71999998
2020-04-17,9.54,9.82,9.47,9.51,10132719,sh600060,96362157.69
2020-04-20,9.57,9.7,9.48,9.66,7492085,sh600060,72373541.1
2020-04-21,9.61,9.93,9.55,9.69,13072680,sh600060,126674269.19999999
2020-04-22,9.63,9.67,9.46,9.67,8411986,sh600060,81343904.62
2020-04-23,9.68,9.99,9.57,9.76,12032767,sh600060,117439805.92
