date,open,high,low,close,volume,sina_symbol,amount
2020-03-17,5.03,5.03,4.68,4.85,7552683,sz002181,36630512.55
2020-03-18,4.88,4.93,4.74,4.74,5368502,sz002181,25446699.48
2020-03-19,4.7,4.82,4.58,4.79,7783402,sz002181,37282495.58
2020-03-20,4.84,4.85,4.69,4.76,5747039,sz002181,27355905.64
2020-03-23,4.67,4.67,4.48,4.5,6989595,sz002181,31453177.5
2020-03-24,4.57,4.61,4.44,4.57,4645508,sz002181,21229971.560000002
2020-03-25,4.64,4.79,4.61,4.74,7393210,sz002181,35043815.4
2020-03-26,4.72,4.72,4.63,4.63,4841268,sz002181,22415070.84
2020-03-27,4.68,4.72,4.61,4.63,4433669,sz002181,20527887.47
2020-03-30,4.57,4.57,4.45,4.49,4222989,sz002181,18961220.61
2020-03-31,4.53,4.54,4.45,4.45,2916200,sz002181,12977090.0
2020-04-01,4.46,4.51,4.45,4.46,2553360,sz002181,11387985.6
2020-04-02,4.45,4.55,4.41,4.55,3473679,sz002181,15805239.45
2020-04-03,4.53,4.63,4.5,4.57,4744142,sz002181,21680728.94
2020-04-07,4.61,4.74,4.61,4.7,6472640,sz002181,30421408.0
2020-04-08,4.67,4.79,4.66,4.76,6614219,sz002181,31483682.439999998
2020-04-09,4.75,5.04,4.75,4.91,12000294,sz002181,58921443.54
2020-04-10,4.88,4.9,4.68,4.73,8857083,sz002181,41894002.59
2020-04-13,4.65,4.7,4.61,4.62,3979300,sz002181,18384366.0
2020-04-14,4.64,4.72,4.63,4.71,2803704,sz002181,13205445.84
2020-04-15,4.71,4.72,4.62,4.64,2749204,sz002181,12756306.559999999
2020-04-16,4.63,4.71,4.59,4.66,3593965,sz002181,16747876.9
2020-04-17,4.68,4.69,4.57,4.59,4421400,sz002181,20294226.0
2020-04-20,4.62,4.62,4.54,4.57,2811155,sz002181,12846978.350000001
2020-04-21,4.58,4.72,4.56,4.67,5456809,sz002181,25483298.03
2020-04-22,4.62,4.7,4.59,4.68,4964994,sz002181,23236171.919999998
2020-04-23,4.65,5.02,4.65,4.77,13712081,sz002181,65406626.37
